"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Production de boissons alcooliques distillées (NAF rév. 2, niveau classe, poste 11.01)";"Codes"
"idBank";"010537304";""
"Période";"";""
"2019-02";"95.19";"A"
"2019-01";"103.68";"A"
"2018-12";"77.47";"A"
"2018-11";"107.1";"A"
"2018-10";"141.23";"A"
"2018-09";"120.45";"A"
"2018-08";"111.49";"A"
"2018-07";"124.04";"A"
"2018-06";"118.77";"A"
"2018-05";"105.54";"A"
"2018-04";"111.29";"A"
"2018-03";"105.18";"A"
"2018-02";"95.8";"A"
"2018-01";"99.57";"A"
"2017-12";"70.96";"A"
"2017-11";"120.5";"A"
"2017-10";"125.42";"A"
"2017-09";"119.16";"A"
"2017-08";"115.32";"A"
"2017-07";"118.09";"A"
"2017-06";"115.65";"A"
"2017-05";"107.23";"A"
"2017-04";"97.77";"A"
"2017-03";"95.91";"A"
"2017-02";"86.53";"A"
"2017-01";"100.76";"A"
"2016-12";"85.16";"A"
"2016-11";"108.72";"A"
"2016-10";"119.71";"A"
"2016-09";"126.21";"A"
"2016-08";"110.68";"A"
"2016-07";"99.75";"A"
"2016-06";"107.7";"A"
"2016-05";"87.56";"A"
"2016-04";"104.39";"A"
"2016-03";"96.88";"A"
"2016-02";"83.76";"A"
"2016-01";"90.22";"A"
"2015-12";"83.62";"A"
"2015-11";"94.58";"A"
"2015-10";"114.07";"A"
"2015-09";"132.41";"A"
"2015-08";"93.65";"A"
"2015-07";"102.3";"A"
"2015-06";"116.3";"A"
"2015-05";"91.16";"A"
"2015-04";"98.43";"A"
"2015-03";"100.23";"A"
"2015-02";"84.03";"A"
"2015-01";"89.22";"A"
"2014-12";"85.32";"A"
"2014-11";"100.03";"A"
"2014-10";"125.13";"A"
"2014-09";"112.48";"A"
"2014-08";"91.38";"A"
"2014-07";"105.14";"A"
"2014-06";"91.99";"A"
"2014-05";"89.61";"A"
"2014-04";"92.59";"A"
"2014-03";"94.91";"A"
"2014-02";"95.17";"A"
"2014-01";"83.62";"A"
"2013-12";"80.14";"A"
"2013-11";"97.15";"A"
"2013-10";"128.46";"A"
"2013-09";"113.1";"A"
"2013-08";"102.21";"A"
"2013-07";"114.76";"A"
"2013-06";"101.56";"A"
"2013-05";"90.42";"A"
"2013-04";"106.66";"A"
"2013-03";"89.41";"A"
"2013-02";"85.94";"A"
"2013-01";"90.79";"A"
"2012-12";"81.14";"A"
"2012-11";"110.63";"A"
"2012-10";"129.29";"A"
"2012-09";"119.51";"A"
"2012-08";"105.44";"A"
"2012-07";"116.61";"A"
"2012-06";"100.94";"A"
"2012-05";"91.88";"A"
"2012-04";"92.07";"A"
"2012-03";"89.24";"A"
"2012-02";"81.13";"A"
